"Part";"Value";"Device";"Package";"Description";"";
"1VO";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"BP";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"C1";"10uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";
"C2";"10uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";
"C3";"0.1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C4";"0.1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C5";"0.1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C6";"0.1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C7";"10p";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C8";"10p";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C9";"330p";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C10";"330p";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C11";"0.1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C12";"0.1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C13";"0.1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C14";"0.1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"CF1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"CF2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"CF3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"CVREJ1";"100k";"R-TRIMM64W";"RTRIM64W";"Trimm resistor";"";
"CVREJ2";"100k";"R-TRIMM64W";"RTRIM64W";"Trimm resistor";"";
"ENV2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"FF1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"FF2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"FF3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"GNDP";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"HP";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"IC1";"TL074";"TL074-TOPP";"DIL14";"OP AMP";"";
"IC2";"LM13700N";"LM13700N";"DIL16";"Dual OTA with buffers";"";
"IC3";"TL072P";"TL072P";"DIL08";"OP AMP";"";
"IC4";"LM13700";"LM13700-TOPDIP16";"DIL16";"";"";
"IN2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"IQ1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"IQ2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"IQ3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"LP";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"Q1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"Q3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"R1";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R2";"150k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R3";"2M2";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R4";"47k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R5";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R6";"2kTC";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R7";"1k8";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R8";"33R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R9";"560R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R10";"150k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R11";"18k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R12";"18k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R13";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R14";"18k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R15";"1M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R16";"22R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R17";"22R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R18";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R19";"220R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R20";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R21";"220R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R22";"1M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R23";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R24";"27k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R25";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R26";"15k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R27";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R28";"1.8k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R29";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R30";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R32";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R33";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R34";"27k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R35";"27k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R36";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R37";"220R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R38";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R39";"150k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"T1";"3904";"-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";
"T2";"3906";"-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"T3";"3906";"-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"T4";"3904";"-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";
"T5";"3906";"-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"U$1";"EURORACK-POWER";"EURORACK-POWER";"PINSHRD_PTH_2X8";"";"";
"V/O";"100R";"R-TRIMM64W";"RTRIM64W";"Trimm resistor";"";
