"Part";"Value";"Device";"Package";"Description";"";
"1VO";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"C1";"10uF";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"";
"C2";"10uF";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"";
"C3";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C4";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C5";"100pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C6";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C7";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C8";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C9";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C10";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C11";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C12";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C13";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C14";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C15";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C16";"5uF";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"";
"C17";".001";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C18";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C19";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C20";"1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"CT1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"CT2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"CT3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"CV2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"D1";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D2";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D3";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D4";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D5";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D6";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D7";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D8";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D9";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"EM2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"ENV2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"ENVREJ";"100k";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
"FT1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"FT2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"FT3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"GNDP";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"IC1";"TL072P";"TL072P";"DIL08";"OP AMP";"";
"IC2";"TL074";"TL074-TOPP";"DIL14";"OP AMP";"";
"IC3";"TL074";"TL074-TOPP";"DIL14";"OP AMP";"";
"IC4";"LM13700";"LM13700-TOPDIP16";"DIL16";"";"";
"IC5";"TL072P";"TL072P";"DIL08";"OP AMP";"";
"IC6";"CA3080E";"CA3080E";"DIL08";"OTA";"";
"IC7";"4066N";"4066N";"DIL14";"Quad bilateral ANALOG SWITCH";"";
"IC8";"4066N";"4066N";"DIL14";"Quad bilateral ANALOG SWITCH";"";
"IC9";"CA3080E";"CA3080E";"DIL08";"OTA";"";
"ID1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"ID2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"IF1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"IF2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"IF3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"OUT";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"R1";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R2";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R3";"33k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R4";"2kTC";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R5";"1.8k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R6";"390R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R7";"1.5M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R8";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R9";"1.5M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R10";"360R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R11";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R12";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R13";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R14";"2.2M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R15";"150k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R16";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R17";"47k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
