"Part";"Value";"Device";"Package";"Description";"";
"AN1";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";
"AN2";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";
"C1";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C2";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C3";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C4";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C5";"10uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";
"C6";"10uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";
"C7";"2700pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C8";"2700pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C9";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C10";"2uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C11";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C12";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C13";"2700pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C14";"2700pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C15";"2700pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C16";"2700pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C17";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C18";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C19";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C20";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C21";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C22";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C23";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C24";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C25";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C26";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C27";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C28";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"CV";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";
"ENV2";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";
"GND";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";
"HFC";"500R";"R-TRIMM64W";"RTRIM64W";"Trimm resistor";"";
"IC1";"TL074";"TL074-TOPP";"DIL14";"OP AMP";"";
"IC4";"TL074";"TL074-TOPP";"DIL14";"OP AMP";"";
"IC5";"TL074";"TL074-TOPP";"DIL14";"OP AMP";"";
"IC8";"TL074";"TL074-TOPP";"DIL14";"OP AMP";"";
"IC11";"TL074";"TL074-TOPP";"DIL14";"OP AMP";"";
"IC14";"LM13700N";"LM13700N";"DIL16";"Dual OTA with buffers";"";
"IC15";"LM13700N";"LM13700N";"DIL16";"Dual OTA with buffers";"";
"IC16";"LM13700N";"LM13700N";"DIL16";"Dual OTA with buffers";"";
"IN";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";
"INI1";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";
"INI2";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";
"INI3";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";
"OUT";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";
"POWER";"EURORACK-POWER";"EURORACK-POWER";"PINSHRD_PTH_2X8";"";"";
"R1";"100k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R2";"150k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R3";"33k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R4";"1.6k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R5";"33k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R6";"8.2k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R7";"8.2k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R8";"8.2k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R9";"8.2k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R10";"8.2k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R11";"8.2k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R12";"100k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R13";"150k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R14";"100k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R15";"91k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R16";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R17";"150k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R18";"91k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R19";"100k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R20";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R21";"330k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R22";"10k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R23";"200";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R24";"300k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R25";"100k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R27";"91k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R28";"91k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R29";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R30";"330k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R31";"10k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R32";"200";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R33";"300k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R34";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R35";"330k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R36";"10k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R37";"200";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R38";"300k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R39";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R40";"150k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R41";"100k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R42";"91k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"R43";"91k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R44";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R45";"1k";"R-US_0207/5V";"0207/5V";"RESISTOR, American symbol";"";
"RA-A1";"91";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"RA-A2";"240";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"RA-A3";"330";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"RA-B1";"91";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"RA-B2";"240";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"RA-B3";"330";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"RFT-A1";"20k";"R-TRIMM64W";"RTRIM64W";"Trimm resistor";"";
"RFT-A2";"20k";"R-TRIMM64W";"RTRIM64W";"Trimm resistor";"";
"RFT-A3";"20k";"R-TRIMM64W";"RTRIM64W";"Trimm resistor";"";
"RFT-B1";"20k";"R-TRIMM64W";"RTRIM64W";"Trimm resistor";"";
"RFT-B2";"20k";"R-TRIMM64W";"RTRIM64W";"Trimm resistor";"";
"RFT-B3";"20k";"R-TRIMM64W";"RTRIM64W";"Trimm resistor";"";
"RQ1";"155k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"RQ2";"549k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"RQ3";"2.04M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"RT1";"100k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"RT2";"120k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"RT3";"160k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";
"T1";"3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"NPN Transistror";"";
"T2";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"T3";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"T4";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"T5";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"T6";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"T7";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
