"Part";"Value";"Device";"Package";"Description";"";
"C1";"10uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";
"C2";"10uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";
"C3";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C4";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C5";"2400pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C6";"2400pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C7";"1100pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C8";"1100pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C9";"1100pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C10";"1100pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C11";".002uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C12";".002uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C13";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C14";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C15";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C16";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C17";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C18";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C19";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C20";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C21";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C22";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C23";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C24";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C25";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C26";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C27";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"C28";".1uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";
"IC1";"LM13700";"LM13700N";"DIL16";"Dual OTA with buffers";"";
"IC2";"LM13700";"LM13700N";"DIL16";"Dual OTA with buffers";"";
"IC3";"LM13700";"LM13700N";"DIL16";"Dual OTA with buffers";"";
"IC5";"TL074";"TL074P";"DIL14";"OP AMP";"";
"IC6";"TL072";"TL072P";"DIL08";"OP AMP";"";
"IC7";"TL072";"TL072P";"DIL08";"OP AMP";"";
"IC11";"LM13700";"LM13700N";"DIL16";"Dual OTA with buffers";"";
"IC14";"LM13700";"LM13700N";"DIL16";"Dual OTA with buffers";"";
"IC16";"TL072";"TL072P";"DIL08";"OP AMP";"";
"J1";"";"M07LONGPADS";"1X07_LONGPADS";"Header 7";"";
"J2";"";"M04LONGPADS";"1X04_LONGPADS";"Header 4";"";
"POWER";"EURORACK-POWER";"EURORACK-POWER";"PINSHRD_PTH_2X8";"";"";
"R1";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R2";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R3";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R4";"330k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R5";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R6";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R7";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R8";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R9";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R10";"270R";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R11";"270R";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R12";"110k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R13";"220k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R14";"270R";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R15";"270R";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R16";"270R";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R17";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R18";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R19";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R20";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R21";"330k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R22";"270R";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R23";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R24";"470k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R25";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R26";"470k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R27";"330k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R28";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R29";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R30";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R31";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R32";"270R";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R33";"270R";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R34";"270R";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R35";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R36";"68k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R37";"200k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R38";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R39";"330k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R40";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R41";"4.3k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R42";"16k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R43";"1k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R44";"150k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R45";"150k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R46";"68k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R47";"200k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R48";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R49";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R50";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R66";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R67";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R68";"120k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R69";"1k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
