Qty,Value,Device,Package,Parts,Description
10,100k,R-US_0207/10,0207/10,"R4, R5, R13, R17, R23, R25, R28, R32","RESISTOR, American symbol"
7,100n,C-US025-025X050,C025-025X050,"C3, C4, C5, C6, C7, C8","CAPACITOR, American symbol"
1,10k,R-TRIMM64W,RTRIM64W,1VO,Trimm resistor
2,10k,R-US_0207/10,0207/10,"R22, R26","RESISTOR, American symbol"
1,10pF,C-US050-025X075,C050-025X075,C13,"CAPACITOR, American symbol"
2,10uF,CPOL-USE2.5-5,"E2,5-5","C1, C2","POLARIZED CAPACITOR, American symbol"
4,150k,R-US_0207/10,0207/10,"R10, R35","RESISTOR, American symbol"
4,15k,R-US_0207/10,0207/10,"R11, R12, R16, R20","RESISTOR, American symbol"
2,1N4148,1N4148DO35-7,DO35-7,"D1, D2",DIODE
4,1k,R-US_0207/10,0207/10,"R9, R30, R31, R34","RESISTOR, American symbol"
4,220R,R-US_0207/10,0207/10,"R14, R15, R18, R19","RESISTOR, American symbol"
1,220k,R-US_0207/10,0207/10,R1,"RESISTOR, American symbol"
2,22k,R-US_0207/10,0207/10,"R3, R7","RESISTOR, American symbol"
1,330n,C-US050-025X075,C050-025X075,C12,"CAPACITOR, American symbol"
2,330pF,C-US050-025X075,C050-025X075,"C10, C11","CAPACITOR, American symbol"
1,33k,R-US_0207/10,0207/10,R24,"RESISTOR, American symbol"
1,3904,,TO92-EBC,T1,NPN Transistror
1,3906,,TO92-EBC,T2,PNP Transistror
2,47k,R-US_0207/10,0207/10,"R8, R21","RESISTOR, American symbol"
1,91k,R-US_0207/2V,0207/2V,R27,"RESISTOR, American symbol"
1,EURORACK-POWER,EURORACK-POWER,PINSHRD_PTH_2X8,POWER,
2,J113,J113/2N5457,TO92-EBC,"Q1, Q2",
1,LM13700,LM13700,DIL16,IC3,
1,TL072,TL072,DIL08,IC2,OP AMP
1,TL074,TL074,DIL14,IC1,OP AMP
4,100k,POT,,,
4,Jacks,,,,
